Probe Set ID	Gene Symbol	Gene Description	Cytoband	mRNA Accession	mRNA  Source	mRna - Description	mRNA - xhyb	Chromosome	Strand	Start	Stop	GO Biological Process ID	GO Biological Process Term	GO Cellular Component ID	GO Cellular Component Term	GO Molecular Function ID	GO Molecular Function Term	Pathway Source	Pathway Name	ISL0001	ISL0010	ISL0011	ISL0012	ISL0013	ISL0014	ISL0015	ISL0016	ISL0019	ISL0002	ISL0020	ISL0021	ISL0022	ISL0003	ISL0004	ISL0005	ISL0006	ISL0007	ISL0008	ISL0009	ISL0023	ISL0024	ISL0025	ISL0026	ISL0027	ISL0028	ISL0029	ISL0030	ISL0031	ISL0032	ISL0033	ISL0034	ISL0035	ISL0036	ISL0037	ISL0038	ISL0039	ISL0040	ISL0041	ISL0042	ISL0043	ISL0044	ISL0045	ISL0046	ISL0047	ISL0048	ISL0049	ISL0050
7896822	AGRN 	agrin 	1p36.33 	NM_198576 	RefSeq 	Homo sapiens agrin (AGRN), mRNA. 	FALSE	chr1	+	945366	981359	GO:0007009  // GO:0007165  // GO:0007213  // GO:0007528  // GO:0008582  // GO:0043113  // GO:0043113  // GO:0045162  // GO:0045213  // GO:0045944 	plasma membrane organization  // signal transduction  // muscarinic acetylcholine receptor signaling pathway  // neuromuscular junction development  // regulation of synaptic growth at neuromuscular junction  // receptor clustering  // receptor clustering  // clustering of voltage-gated sodium channels  // neurotransmitter receptor metabolic process  // positive regulation of transcription from RNA polymerase II promoter 	GO:0005576  // GO:0005578  // GO:0005605  // GO:0009986 	extracellular region  // proteinaceous extracellular matrix  // basal lamina  // cell surface 	GO:0005200  // GO:0030548  // GO:0043236 	structural constituent of cytoskeleton  // acetylcholine receptor regulator activity  // laminin binding 	---	---	7.743958	7.971659	7.23777	7.285089	7.330035	6.985121	8.217162	7.334488	7.110667	7.08949	6.972205	7.09604	7.279016	7.155924	7.157724	7.840516	6.045861	6.897054	6.915805	7.604676	7.041675	7.082438	7.600531	7.394413	7.056555	7.297342	7.268036	7.330637	8.041645	7.562609	7.517076	7.307166	6.57567	6.467404	6.954797	7.002541	6.447657	6.447319	6.716612	6.7644	7.307654	6.676641	6.181795	6.449115	6.856637	6.939337	6.720037	7.078293
7896865	TTLL10 	tubulin tyrosine ligase-like family, member 10 	1p36.33 	NM_153254 	RefSeq 	Homo sapiens tubulin tyrosine ligase-like family, member 10 (TTLL10), transcript variant 2, mRNA. 	FALSE	chr1	+	1099146	1123178	GO:0006464 	protein modification process 	GO:0005737  // GO:0005856  // GO:0005874 	cytoplasm  // cytoskeleton  // microtubule 	GO:0004835  // GO:0016874 	tubulin-tyrosine ligase activity  // ligase activity 	---	---	6.856347	6.44434	6.516818	6.631379	6.43868	6.599	6.460271	6.512314	6.660188	6.79283	6.77723	6.426772	6.660652	6.068599	6.296464	6.623582	6.912285	6.773923	6.735687	6.38096	6.424886	6.777285	6.495068	6.349772	6.63529	6.615431	6.415863	6.437176	6.553091	6.559258	6.663265	6.835074	6.302524	6.19978	6.53521	6.455817	6.866712	6.650432	6.934883	6.808938	6.735339	6.626568	6.50301	6.953324	6.763821	6.60297	6.683828	6.656864
7896878	B3GALT6 	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 	1p36.33 	NM_080605 	RefSeq 	Homo sapiens UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 (B3GALT6), mRNA. 	FALSE	chr1	+	1157492	1160284	GO:0006024  // GO:0006486 	glycosaminoglycan biosynthetic process  // protein amino acid glycosylation 	GO:0005794  // GO:0005797  // GO:0016020  // GO:0016021 	Golgi apparatus  // Golgi medial cisterna  // membrane  // integral to membrane 	GO:0008499  // GO:0016757  // GO:0030145  // GO:0047220 	UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity  // transferase activity, transferring glycosyl groups  // manganese ion binding  // galactosylxylosylprotein 3-beta-galactosyltransferase activity 	---	---	7.054168	6.938085	7.06338	7.275923	6.900312	7.071723	7.111769	6.68994	7.051229	6.92151	6.957617	6.969355	7.158315	6.814134	6.890594	7.110881	7.204939	7.325847	6.967557	7.019949	6.702993	6.992434	6.786359	6.830228	6.58715	6.966359	6.9233	6.979566	6.831919	6.954581	7.327431	6.907893	6.327589	6.489276	6.85097	6.354287	6.797738	6.603654	6.939662	6.759913	6.587413	6.638285	6.880857	6.924273	6.394147	6.682338	6.878947	6.970158
7896882	SCNN1D 	sodium channel, nonvoltage-gated 1, delta 	1p36.3-p36.2 	NM_001130413 	RefSeq 	Homo sapiens sodium channel, nonvoltage-gated 1, delta (SCNN1D), transcript variant 1, mRNA. 	FALSE	chr1	+	1205831	1217272	GO:0006811  // GO:0006814  // GO:0050896  // GO:0050909 	ion transport  // sodium ion transport  // response to stimulus  // sensory perception of taste 	GO:0016020  // GO:0016021 	membrane  // integral to membrane 	GO:0005216  // GO:0015280  // GO:0031402 	ion channel activity  // amiloride-sensitive sodium channel activity  // sodium ion binding 	---	---	5.890402	5.625789	5.927872	5.898586	5.753707	5.739617	5.705403	5.636787	5.579947	5.949723	6.040554	5.679247	6.047847	5.293581	5.783517	5.856866	6.05128	6.056582	5.769365	5.800795	5.653075	5.760249	5.741543	5.595521	5.650311	5.623115	5.568704	5.557525	5.629784	5.62446	5.737401	5.813513	5.196623	5.282625	5.503301	5.601486	6.041221	5.611466	5.888784	5.724239	5.978818	5.788943	5.726795	5.982351	5.761739	5.519108	5.530821	5.690063
7896908	PUSL1 	pseudouridylate synthase-like 1 	1p36.33 	NM_153339 	RefSeq 	Homo sapiens pseudouridylate synthase-like 1 (PUSL1), mRNA. 	FALSE	chr1	+	1233810	1236920	GO:0001522  // GO:0008033 	pseudouridine synthesis  // tRNA processing 	---	---	GO:0009982  // GO:0016853 	pseudouridine synthase activity  // isomerase activity 	---	---	6.418948	6.235158	6.214363	6.586345	6.552745	6.152591	6.405624	6.291214	6.520472	6.470564	6.289592	6.56959	6.42153	6.14253	6.303045	6.348667	6.481109	6.662404	6.434263	6.216629	5.977226	6.41484	6.251528	6.071952	6.111745	6.465965	6.220939	6.096221	6.359437	6.335772	6.242591	6.139559	5.967761	6.152951	6.004456	6.001834	6.42027	6.278274	6.148581	6.184496	6.286337	6.274803	6.290812	6.370405	5.985139	6.320765	6.273762	6.284631
7896917	GLTPD1 	glycolipid transfer protein domain containing 1 	1p36.33 	NM_001029885 	RefSeq 	Homo sapiens glycolipid transfer protein domain containing 1 (GLTPD1), mRNA. 	FALSE	chr1	+	1250006	1254140	GO:0046836 	glycolipid transport 	GO:0005737 	cytoplasm 	GO:0017089  // GO:0051861 	glycolipid transporter activity  // glycolipid binding 	---	---	6.563019	6.66356	6.490227	6.653878	6.611191	6.377069	6.746726	6.43731	6.53879	6.316649	6.427321	6.486209	6.482459	6.417784	6.114712	6.80854	5.690354	6.306828	6.266921	6.475925	6.401132	6.273682	6.429832	6.587258	6.281742	6.662613	6.593124	6.439884	6.663521	6.674478	6.647599	6.4588	6.124721	6.02953	6.487514	6.406415	6.33185	5.940247	6.383543	6.217714	6.531322	6.342478	6.12437	6.486287	6.324305	6.42322	6.241371	6.58558
7896921	TAS1R3 	taste receptor, type 1, member 3 	1p36.33 	NM_152228 	RefSeq 	Homo sapiens taste receptor, type 1, member 3 (TAS1R3), mRNA. 	FALSE	chr1	+	1256557	1260550	GO:0001582  // GO:0007165  // GO:0007186  // GO:0050896  // GO:0050917 	detection of chemical stimulus involved in sensory perception of sweet taste  // signal transduction  // G-protein coupled receptor protein signaling pathway  // response to stimulus  // sensory perception of umami taste 	GO:0005886  // GO:0016021 	plasma membrane  // integral to membrane 	GO:0004872  // GO:0033041  // GO:0046982 	receptor activity  // sweet taste receptor activity  // protein heterodimerization activity 	---	---	6.594491	5.932916	6.255259	6.240376	6.237753	6.16948	6.267701	6.260828	6.2767	6.477101	6.400705	6.352739	6.557038	6.331314	6.190548	6.351067	6.415876	6.460434	6.478257	6.090469	6.030666	6.160854	6.23463	6.015489	6.47329	6.279669	6.180439	6.091422	6.079015	6.273478	6.307481	6.283397	5.847082	5.876311	6.121209	5.966317	6.480184	6.084923	6.275686	6.186488	6.436178	6.120104	6.236202	6.297237	6.250325	6.102104	6.217094	6.238189
7896929	VWA1 	von Willebrand factor A domain containing 1 	1p36.33 	NM_022834 	RefSeq 	Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA. 	FALSE	chr1	+	1360772	1368125	---	---	GO:0005576  // GO:0005604 	extracellular region  // basement membrane 	---	---	---	---	8.036846	8.316387	8.22648	7.901234	7.972687	7.919025	8.443157	8.021383	8.053455	8.161238	8.222083	7.906294	8.031661	7.680184	7.886619	7.585824	7.645318	7.999609	7.852368	7.437893	8.067313	8.314603	7.997704	8.17505	7.675483	7.847723	7.709932	7.882913	8.091419	8.154502	7.824402	8.120083	7.622392	7.804339	7.678318	7.481317	7.667642	7.702613	7.675405	7.357395	7.7117	7.92738	7.915155	7.638337	7.613747	7.639899	7.710135	7.583178
7896937	ATAD3C 	ATPase family, AAA domain containing 3C 	1p36.33 	NM_001039211 	RefSeq 	Homo sapiens ATPase family, AAA domain containing 3C (ATAD3C), mRNA. 	FALSE	chr1	+	1374932	1395401	---	---	---	---	GO:0000166  // GO:0005524  // GO:0017111 	nucleotide binding  // ATP binding  // nucleoside-triphosphatase activity 	---	---	5.968239	6.136748	6.303759	6.517354	6.108132	6.358901	6.307851	6.205787	6.192897	6.162776	6.375597	6.373968	6.374947	6.218666	6.292486	6.163154	6.52428	6.362197	6.300967	6.333359	6.326973	6.20477	6.352386	6.184626	6.073053	6.342067	5.990738	6.258942	6.107402	6.214022	6.334607	6.271421	6.255383	6.066286	6.27206	6.287569	6.457457	6.223792	6.401005	6.23002	5.962438	6.130543	6.106056	6.399102	6.187097	5.98893	6.264214	6.399163
7896952	ATAD3A 	ATPase family, AAA domain containing 3A 	1p36.33 	NM_018188 	RefSeq 	Homo sapiens ATPase family, AAA domain containing 3A (ATAD3A), mRNA. 	FALSE	chr1	+	1379712	1459930	---	---	---	---	GO:0000166  // GO:0005515  // GO:0005524  // GO:0017111 	nucleotide binding  // protein binding  // ATP binding  // nucleoside-triphosphatase activity 	---	---	7.180499	6.711416	6.897521	7.174341	7.025531	6.73044	6.853765	7.096581	7.114141	6.879332	7.009753	6.956509	6.905434	6.969629	6.851045	7.015808	6.967432	7.25944	7.033715	7.152061	6.560575	6.948074	6.955533	6.807822	7.095604	7.051229	7.048965	7.00377	6.962315	7.089287	7.010257	6.841237	6.617038	6.381239	6.856448	6.761342	7.19273	6.866645	6.943513	6.816883	7.117514	6.866637	6.878175	7.147032	6.961712	7.179209	6.907158	7.237521
7896961	ATAD3B 	ATPase family, AAA domain containing 3B 	1p36.33 	NM_031921 	RefSeq 	Homo sapiens ATPase family, AAA domain containing 3B (ATAD3B), mRNA. 	FALSE	chr1	+	1397012	1421445	---	---	---	---	GO:0000166  // GO:0005524  // GO:0017111 	nucleotide binding  // ATP binding  // nucleoside-triphosphatase activity 	---	---	7.063002	7.033089	7.187434	7.545365	7.226397	7.100086	7.266528	7.134312	7.061632	6.99298	7.172267	7.204973	7.296839	7.179419	7.094813	7.089135	7.277446	7.23881	7.124213	7.333771	6.862515	6.949134	7.342207	6.86889	7.556632	7.450206	7.249969	7.159214	7.037722	7.303928	7.206226	7.075595	7.070912	6.888129	7.402033	7.364675	7.186533	7.236514	7.331314	7.257112	7.17344	6.77885	6.91748	7.099607	7.031997	7.305979	7.230278	7.457958
7896985	MIB2 	mindbomb homolog 2 (Drosophila) 	1p36.33 	NM_080875 	RefSeq 	Homo sapiens mindbomb homolog 2 (Drosophila) (MIB2), mRNA. 	FALSE	chr1	+	1540736	1555853	GO:0007219  // GO:0016567  // GO:0019941  // GO:0043123 	Notch signaling pathway  // protein ubiquitination  // modification-dependent protein catabolic process  // positive regulation of I-kappaB kinase/NF-kappaB cascade 	GO:0005737  // GO:0005768 	cytoplasm  // endosome 	GO:0003779  // GO:0004842  // GO:0004871  // GO:0005515  // GO:0008270  // GO:0016874  // GO:0046872 	actin binding  // ubiquitin-protein ligase activity  // signal transducer activity  // protein binding  // zinc ion binding  // ligase activity  // metal ion binding 	---	---	6.756124	6.534857	6.887284	6.8445	6.661805	6.577713	6.797071	6.720876	6.675868	6.920958	6.754669	6.589598	7.086984	6.543845	6.718326	6.926813	6.893197	6.990597	6.83784	6.792092	6.522902	6.749563	6.766174	6.721116	6.820033	6.690897	6.718562	6.683111	6.846153	6.811621	6.696156	6.837349	6.438807	6.272665	6.611547	6.431329	6.516704	6.520201	6.700123	6.670103	6.802652	6.900713	6.612461	6.852098	6.6056	6.715633	6.528213	6.443098
7897006	MMP23B 	matrix metallopeptidase 23B 	1p36.3 	NM_006983 	RefSeq 	Homo sapiens matrix metallopeptidase 23B (MMP23B), mRNA. 	FALSE	chr1	+	1557337	1623109	GO:0000003  // GO:0006508 	reproduction  // proteolysis 	GO:0005578  // GO:0005622  // GO:0005737  // GO:0016020  // GO:0016021 	proteinaceous extracellular matrix  // intracellular  // cytoplasm  // membrane  // integral to membrane 	GO:0004222  // GO:0004222  // GO:0008233  // GO:0008270  // GO:0046872 	metalloendopeptidase activity  // metalloendopeptidase activity  // peptidase activity  // zinc ion binding  // metal ion binding 	GenMAPP 	Matrix_Metalloproteinases 	7.414241	7.244447	7.344219	7.197324	7.145627	7.119655	7.198915	7.293293	7.333526	7.496228	7.437846	7.234515	7.599152	6.636307	7.175153	7.2368	7.571177	7.453365	7.306539	7.044443	6.806125	7.146045	7.065368	6.811002	6.764836	6.937951	6.775124	6.91877	6.983837	7.129257	7.045906	7.062584	6.736609	6.475088	6.917188	6.881581	7.062954	7.152195	7.023739	7.106259	7.016694	6.866436	6.867114	7.328582	7.114123	6.88155	7.021136	6.978197
7897026	CALML6 	calmodulin-like 6 	1p36.33 	NM_138705 	RefSeq 	Homo sapiens calmodulin-like 6 (CALML6), mRNA. 	FALSE	chr1	+	1836126	1838595	---	---	GO:0005634  // GO:0005737 	nucleus  // cytoplasm 	GO:0005509 	calcium ion binding 	---	---	4.882078	4.428555	4.595404	4.31496	4.679751	4.493742	4.534673	4.956013	4.571035	5.061555	4.813261	4.678464	4.734472	4.979483	4.246082	4.895433	4.883486	4.671782	4.796153	4.78794	4.715458	4.881705	4.941023	4.631574	5.114226	4.517916	5.46221	5.130272	4.964234	5.322153	5.015146	4.739826	4.876862	4.736267	4.595048	5.033196	5.074297	5.009042	4.890928	4.907624	5.528053	5.096407	5.072449	5.164338	4.924512	5.203654	4.925509	5.003307
7897034	GABRD 	gamma-aminobutyric acid (GABA) A receptor, delta 	1p|1p36.3 	NM_000815 	RefSeq 	Homo sapiens gamma-aminobutyric acid (GABA) A receptor, delta (GABRD), mRNA. 	FALSE	chr1	+	1940640	1952052	GO:0006811  // GO:0007165  // GO:0007268 	ion transport  // signal transduction  // synaptic transmission 	GO:0005886  // GO:0005887  // GO:0030054  // GO:0045202  // GO:0045211 	plasma membrane  // integral to plasma membrane  // cell junction  // synapse  // postsynaptic membrane 	GO:0004890  // GO:0005216  // GO:0005230  // GO:0005254  // GO:0030594  // GO:0031404 	GABA-A receptor activity  // ion channel activity  // extracellular ligand-gated ion channel activity  // chloride channel activity  // neurotransmitter receptor activity  // chloride ion binding 	---	---	6.540491	6.089143	6.292028	6.295899	6.347723	6.070204	6.266507	6.080601	6.546161	6.469491	6.354706	6.158548	6.111648	5.877929	5.962192	6.422385	6.453206	6.584302	6.435678	6.114235	6.076941	6.321289	6.512352	5.885231	5.921076	6.207562	5.914506	6.209732	6.182222	6.175122	6.252666	6.170664	5.879457	5.62464	6.332148	6.091965	6.277387	6.275877	6.354661	6.417843	6.148015	6.350147	6.377306	6.560112	6.263995	6.381254	6.387104	6.352301
7897044	PRKCZ 	protein kinase C, zeta 	1p36.33-p36.2 	NM_002744 	RefSeq 	Homo sapiens protein kinase C, zeta (PRKCZ), transcript variant 1, mRNA. 	FALSE	chr1	+	1971769	2106694	GO:0006916  // GO:0007242  // GO:0018105  // GO:0031333  // GO:0046627  // GO:0050732 	anti-apoptosis  // intracellular signaling cascade  // peptidyl-serine phosphorylation  // negative regulation of protein complex assembly  // negative regulation of insulin receptor signaling pathway  // negative regulation of peptidyl-tyrosine phosphorylation 	GO:0005624  // GO:0005737  // GO:0005768  // GO:0005886 	membrane fraction  // cytoplasm  // endosome  // plasma membrane 	GO:0000166  // GO:0004697  // GO:0005524  // GO:0008270  // GO:0016740  // GO:0019992  // GO:0043560  // GO:0046872 	nucleotide binding  // protein kinase C activity  // ATP binding  // zinc ion binding  // transferase activity  // diacylglycerol binding  // insulin receptor substrate binding  // metal ion binding 	GenMAPP  // GenMAPP  // GenMAPP  // GenMAPP 	G_Protein_Signaling  // Wnt_signaling  // Calcium_regulation_in_cardiac_cells  // Smooth_muscle_contraction 	6.749617	6.57439	6.433162	6.625603	6.598792	6.629322	6.734851	6.721874	6.559583	6.607932	6.16616	6.550118	6.69089	6.738786	6.800816	6.712561	6.47958	6.129099	6.459837	6.733347	6.85497	6.78398	6.619345	6.983825	6.546053	6.767166	6.758213	6.818018	6.866918	6.756655	6.91904	6.778777	6.827373	6.85036	6.629296	6.539094	6.233742	6.729763	6.376719	6.36588	6.588161	6.298481	6.669069	6.563759	6.600625	6.46244	6.541258	6.644283
7897066	C1orf86 	chromosome 1 open reading frame 86 	1p36.33 	BC041041 	GenBank 	Homo sapiens, clone IMAGE:4890104, mRNA. 	FALSE	chr1	+	2110843	2114884	---	---	---	---	---	---	---	---	6.43667	6.029835	6.357213	5.974532	5.982606	6.005123	5.88105	6.174252	6.176739	6.242715	6.292797	5.842744	6.279728	6.02634	6.128996	6.149601	6.193823	6.273988	6.190063	5.906235	6.207379	6.155362	6.328575	6.096727	5.899932	5.850007	5.988703	6.250441	6.05801	6.258217	6.289886	6.312317	6.048696	5.895011	6.231641	6.168261	6.37607	6.271248	6.643523	6.197622	6.385968	6.393933	6.422273	6.189222	6.235884	5.793177	6.18496	6.198433
